"glad
","zadowolony
"
"years
","lat
"
"healed
","uzdrowiony
"
"forks
","widelce
"
"petronella
","petronella
"
"heading
","nagłówek
"
"superstitionthe
","przesąd
"
"malaria
","malaria
"
"sticker
","naklejka
"
"hurrying
","śpiesząc się
"
"multicolored
","wielobarwny
"
"calming
","łagodzący
"
"protract
","przedłużać
"
"else-food
","inne jedzenie
"
"bookmark
","zakładka
"
"unresisting
","bez oporu
"
"appendage
","dodatek
"
"wanderingand
","wędrówka
"
"hoarding
","płot
"
"sponged
","gąbka
"
"hither
","tutaj
"
"crabbed
","opryskliwy
"
"slippers
","kapcie
"
"surrendered
","poddał się
"
"spaces
","przestrzenie
"
"unfortunate
","niefortunny
"
"metamorphosis
","metamorfoza
"
"lances
","lance
"
"monsters
","potwory
"
"huffing
","sapanie
"
"himhe
","jego on
"
"ironing
","prasowanie
"
"persians
","persowie
"
"beloved
","ukochany
"
"arnold
","arnold
"
"sibyl
","Sybilla
"
"wolfish
","wilczy
"
"witnesses
","świadkowie
"
"approval
","zatwierdzenie
"
"emergencies
","sytuacje awaryjne
"
"shaping
","modelacja
"
"youhe
","ty on
"
"vocal
","wokal
"
"habitually
","zwykle
"
"takes
","trwa
"
"universal
","uniwersalny
"
"dew-beads
","krople rosy
"
"paratroopers
","spadochroniarze
"
"oatmeal
","owsianka
"
"weak-hearted
","o słabym sercu
"
"haymakers
","sianokosy
"
"senseswhich
","zmysły, które
"
"rassenschande
","rassenschande
"
"stocking-foot
","stopka do pończoch
"
"geography
","geografia
"
"chooseher
","Wybierzher
"
"sanatorium
","sanatorium
"
"hardships
","trudności życiowe
"
"firmament
","firmament
"
"beckoned
","skinął
"
"plunk
","dolar
"
"puerile
","dziecinny
"
"predicts
","przewiduje
"
"shrugs
","wzrusza ramionami
"
"token
","znak
"
"mucky
","brudny
"
"holes
","dziury
"
"nests
","gniazda
"
"evidentlywas
","ewidentnie był
"
"exasperation
","rozdrażnienie
"
"sheet
","arkusz
"
"mechanics
","mechanika
"
"only'
","tylko'
"
"sago
","sago
"
"prudish
","pruderyjny
"
"jasmine
","jaśmin
"
"homeless
","bezdomny
"
"searchinquireto
","searchinquireto
"
"lore
","fabuła
"
"old
","stary
"
"peaceno
","peaceno
"
"intermezzo
","intermezzo
"
"subject
","Przedmiot
"
"tube
","rura
"
"seams
","szwy
"
"if
","gdyby
"
"musician
","muzyk
"
"disagreement
","niezgoda
"
"joyfully
","radośnie
"
"dank
","wilgotny
"
"ever-watchful
","zawsze czujny
"
"surveyed
","ankietowany
"
"seminary
","seminarium duchowne
"
"decently
","przyzwoicie
"
"starts
","zaczyna
"
"ripe
","dojrzały
"
"solutions
","rozwiązania
"
"post-chaise
","szezlong
"
"moss
","mech
"
"consent
","zgoda
"
"reasonable
","rozsądny
"
"sunrise
","wschód słońca
"
"beamed
","rozpromieniony
"
"storms
","burze
"
"surtout
","surtout
"
"improvements
","ulepszenia
"
"propose
","zaproponować
"
"stink
","smród
"
"disposed
","usunięte
"
"responsibilities
","obowiązki
"
"try
","próbować
"
"brobdignag
","brobdignag
"
"motherand
","matka i
"
"festive
","uroczysty
"
"surroundings
","okolica
"
"magnifies
","powiększa
"
"merits
","zasługi
"
"rescuer
","ratownik
"
"instead
","zamiast
"
"superciliousness
","wyniosłość
"
"watchful
","czujny
"
"taking
","nabierający
"
"credit
","kredyt
"
"vital
","istotny
"
"delicious
","pyszne
"
"nightof
","nightof
"
"dash
","dziarskość
"
"thisif
","thisif
"
"breakfasted
","śniadanie
"
"retreating
","wycofanie się
"
"rang
","zadzwonił
"
"honeymoon
","Miesiąc miodowy
"
"bloodshot
","nabiegły krwią
"
"choice
","wybór
"
"choke
","dławić się
"
"paid
","płatny
"
"olga
","olga
"
"pull
","Ciągnąć
"
"convolvuli
","powikłania
"
"stubble
","ściernisko
"
"excelled
","celował
"
"confounded
","zmieszany
"
"majestic
","majestatyczny
"
"subdue
","pokonać
"
"mehe
","mehe
"
"blunderhow
","pomyłka
"
"blushes
","rumieni się
"
"foreheadwhich
","czoło, które
"
"representative
","przedstawiciel
"
"branded
","markowe
"
"plague-house
","dom zarazy
"
"thermometer
","termometr
"
"toil
","trud
"
"ahasuerus
","ahasuerus
"
"hopebetter
","hopebetter
"
"impose
","narzucać
"
"urine
","mocz
"
"granite-hewn
","ciosany granit
"
"hundred
","sto
"
"pompous
","pompatyczny
"
"circumstance
","okoliczność
"
"unacquainted
","nie zorientowany w czymś
"
"broadest
","najszerszy
"
"regarded
","uważane
"
"irresistibly
","nieodparcie
"
"usurious
","lichwiarski
"
"weak-willed
","o słabej woli
"
"adèles
","adèles
"
"windings
","uzwojenia
"
"hima
","hima
"
"bush-holly
","krzak ostrokrzewu
"
"preferred
","preferowane
"
"strip
","rozebrać się
"
"toonot
","toonot
"
"leczinsky
","Łęczinskiego
"
"sweepon
","sweepon
"
"persevered
","wytrwały
"
"self-knowledge
","samowiedzy
"
"abbot
","opat
"
"speculation
","spekulacja
"
"hypochondria
","hipochondria
"
"breakat
","Breakat
"
"loaves
","bochenki
"
"embroidered
","haftowane
"
"rememberno
","Pamiętaj nie
"
"blindness
","ślepota
"
"banish
","wygnać
"
"cannotwe
","nie możemy
"
"pick
","wybierać
"
"turnip
","Rzepa
"
"relax
","zrelaksować się
"
"abodewhether
","abodewhether
"
"damper
","amortyzator
"
"following
","następujący
"
"dinners
","obiady
"
"gerbrandy
","gerbrandy
"
"browbeaten
","zastraszony
"
"traces
","ślady
"
"abruptness
","nagłość
"
"mocha
","mokka
"
"betake
","uciec się
"
"club
","Klub
"
"und
","und
"
"banter
","drażnić
"
"himno
","himno
"
"overcoat
","płaszcz
"
"gentleman-like
","dżentelmen
"
"marxveldt
","marxveldt
"
"strain
","odcedzić
"
"debates
","debaty
"
"hypocrite
","hipokryta
"
"people
","ludzie
"
"rooks
","gawrony
"
"sandal
","sandał
"
"cannon-ballshe
","kule armatnie
"
"eastward
","na wschód
"
"competitors
","konkurentów
"
"probation
","staż
"
"kneeling
","klęczący
"
"farhappen
","daleko
"
"contumacy
","opór
"
"window-sill
","parapet
"
"debt
","dług
"
"heavingwith
","falujący z
"
"german-occupied
","okupowany przez Niemców
"
"rhubarb
","Rabarbar
"
"leaf
","liść
"
"lend
","wypożyczać
"
"intensity
","intensywność
"
"dot
","kropka
"
"ailed
","schorowany
"
"eyrethe
","oczko
"
"despotsprovided
","despoci zapewnieni
"
"resolve
","rozwiązać
"
"yell
","krzyk
"
"nowadays
","dzisiaj
"
"irritated
","poirytowany
"
"communicative
","rozmowny
"
"felt
","poczuł
"
"address
","adres
"
"politely
","grzecznie
"
"smoking
","palenie
"
"beforehand
","uprzednio
"
"slippery
","śliski
"
"muffled
","stłumiony
"
"pin
","kołek
"
"disapprovingly
","nieprzychylnie
"
"bedrooms
","sypialnie
"
"thoughtless
","bezmyślny
"
"groundedrespect
","uziemiony szacunek
"
"savagequite
","savagequite
"
"depth
","głębokość
"
"cranny
","rysa
"
"tarried
","spoczął
"
"extensively
","obszernie
"
"david
","david
"
"scantier
","skąpe
"
"oceans
","oceany
"
"provided
","opatrzony
"
"housed
","mieści się
"
"shabby
","brudny
"
"cannotyou
","nie możesz
"
"brackish
","półsłony
"
"competency
","kompetencja
"
"bastard
","drań
"
"widow
","wdowa
"
"brooded
","wysiady
"
"country-made
","wyprodukowany w kraju
"
"cheated
","oszukany
"
"absences
","nieobecności
"
"likewise
","również
"
"feeds
","kanały
"
"longenduring
","długotrwały
"
"problem
","problem
"
"exclaimed
","zawołał
"
"limbs
","odnóża
"
"rival
","rywalizować
"
"rayless
","bez promienia
"
"york
","york
"
"thirsted
","spragniony
"
"baby-phantom
","baby-phantom
"
"ironical
","ironiczny
"
"smoky
","dymny
"
"unceremonious
","bezceremonialny
"
"wonderfully
","fenomenalnie
"
"low-spirited
","kiepski
"
"steadfast
","niezłomny
"
"grass
","trawa
"
"lilacs
","bzy
"
"societys
","społeczeństwa
"
"urgently
","pilnie
"
"influx
","napływ
"
"newer
","nowsza
"
"bunglingly
","nieudolnie
"
"surly
","gburowaty
"
"sale
","sprzedaż
"
"findall
","Znajdź wszystko
"
"bolsheviks
","bolszewicy
"
"deposited
","zdeponowany
"
"refuge
","schronienie
"
"venomous
","jadowity
"
"entry
","wejście
"
"slacks
","spodnie
"
"goblin
","chochlik
"
"shiver
","dreszcz
"
"holiday
","święto
"
"awaking
","budząc się
"
"stumbling
","potykanie się
"
"well-off
","Dobrze
"
"wed
","poślubić
"
"coastal
","przybrzeżny
"
"stream
","strumień
"
"blue-piled
","z niebieskim stosem
"
"zero
","zero
"
"knowthis
","wiem to
"
"fired
","zwolniony
"
"insolent
","bezczelny
"
"tenantless
","bez najemcy
"
"ringleted
","ringleted
"
"typhus
","dur plamisty
"
"merit
","zasługa
"
"obscure
","niejasny
"
"grandmother
","babcia
"
"dipping
","zanurzenie
"
"epicure
","epikurejczyk
"
"storeroom
","magazyn
"
"completing
","ukończenie
"
"blessed
","błogosławiony
"
"nodded
","skinął głową
"
"wickedness
","niegodziwość
"
"spots
","kropki
"
"costumes
","kostiumy
"
"pinning
","przypinanie
"
"assistance
","wsparcie
"
"chatterboxes
","gaduły
"
"stinks
","śmierdzi
"
"attain
","osiągać
"
"foreground
","pierwszoplanowy
"
"unveiled
","odsłonięty
"
"piercinglyhe
","piercinglyhe
"
"needed
","potrzebne
"
"pervading
","przenikający
"
"outcasts
","wyrzutkowie
"
"quarter
","jedna czwarta
"
"sleepy
","senny
"
"pilgrim
","pielgrzym
"
"adoring
","uwielbiający
"
"dental
","dentystyczny
"
"pursuits
","pogoni
"
"translating
","tłumaczenia
"
"wine-glass
","lampka wina
"
"niece
","siostrzenica
"
"sulphur-steamsi
","sulphur-steamsi
"
"delusions
","urojenia
"
"well-dressed
","dobrze ubrany
"
"extreme
","skrajny
"
"mound
","kopiec
"
"vision
","wizja
"
"bowed
","skłonił się
"
"marrowfat
","tłuszcz szpiku kostnego
"
"meshe
","siatka
"
"intuitive
","intuicyjny
"
"meat
","mięso
"
"big-mouthed
","z wielkimi ustami
"
"beguile
","oszukać
"
"likewhy
","podobnie
"
"interwoven
","splecione
"
"crops
","uprawy
"
"exceptions
","wyjątki
"
"hopeful
","pełen nadziei
"
"convulsive
","konwulsyjny
"
"fifty
","pięćdziesiąt
"
"gazer
","gazer
"
"phones
","telefony
"
"profession
","zawód
"
"betty
","Betty
"
"swing
","huśtawka
"
"lifesnatched
","Lifesnatched
"
"split-pea
","groszek
"
"birthday
","urodziny
"
"ride
","jazda
"
"swears
","przysięga
"
"emotions
","emocje
"
"curses
","pomstowanie
"
"sinful
","grzeszny
"
"askno
","askno
"
"wor
","wor
"
"freezingly
","mroźno
"
"prejudices
","uprzedzenia
"
"dr
","dr
"
"stunned
","oszołomiony
"
"attracted
","zauroczony
"
"impressible
","imponujące
"
"day-dream
","marzyć
"
"cordiality
","serdeczność
"
"viii
","viii
"
"clam
","małż
"
"sparrow
","wróbel
"
"rationally
","racjonalnie
"
"saints-day
","świętych
"
"personnel
","personel
"
"ackack
","Ackack
"
"moment
","za chwilę
"
"giggling
","chichotanie
"
"experiment
","eksperyment
"
"presumption
","domniemanie
"
"begrimed
","begrimed
"
"cracking
","Pękanie
"
"seven-fifteen
","siódma piętnaście
"
"brushes
","szczotki
"
"lthan
","lthan
"
"bachelors
","kawalerowie
"
"paroxysm
","paroksyzm
"
"flowers
","kwiaty
"
"shelled
","skorupowy
"
"eligible
","wybieralny
"
"mien
","mina
"
"impossibilities
","niemożliwości
"
"comforts
","komfort
"
"simplicity
","prostota
"
"inflict
","zadać
"
"pronounced
","wyraźny
"
"eyrejane
","eyrejane
"
"outrageous
","skandaliczny
"
"diedi
","diei
"
"stockfor
","stockfor
"
"distinguishable
","rozpoznawalny
"
"s
","s
"
"reprimanded
","upomniany
"
"sorelieved
","Sorelieved
"
"perception
","postrzeganie
"
"sunny-faced
","o słonecznej twarzy
"
"regulations
","przepisy prawne
"
"ripened
","dojrzałe
"
"headed
","głowiasty
"
"spurn
","pogardzać
"
"visible
","widoczny
"
"strawberries
","truskawki
"
"whichever
","którykolwiek
"
"stock
","Zbiory
"
"subjugation
","ujarzmienie
"
"germanic
","germański
"
"generally
","ogólnie
"
"chidings
","bzdury
"
"inclinations
","skłonności
"
"howling
","wyjący
"
"plucked
","oskubane
"
"screen
","ekran
"
"viewpoint
","punkt widzenia
"
"gang
","banda
"
"complaining
","narzekać
"
"princess
","księżniczka
"
"soliloquy
","monolog
"
"roots
","korzenie
"
"water-jug
","dzban wody
"
"clamoured
","krzyczał
"
"well-executed
","dobrze wykonany
"
"thrusting
","wepchnięcie
"
"society
","społeczeństwo
"
"amends
","odszkodowanie
"
"lasts
","trwa
"
"portrait
","portret
"
"rochesterhe
","Rochesterhe
"
"advancedthe
","zaawansowane
"
"lavish
","rozrzutny
"
"jacketa
","jacketa
"
"reprobationto
","reprobationto
"
"coverings
","pokrycia
"
"civilization
","cywilizacja
"
"clocks
","zegary
"
"pinafores
","pinafores
"
"rubric
","rubryka
"
"dungeon
","loch
"
"consorting
","małżeństwo
"
"vapours
","opary
"
"prominent
","wybitny
"
"undertook
","podjął
"
"fancyhes
","fantazyjne
"
"wiser
","mądrzejszy
"
"basket
","kosz
"
"mannered
","zmanierowany
"
"tables
","stoły
"
"hammer
","młotek
"
"vernal
","wiosenny
"
"woes
","biada
"
"manoeuvres
","manewry
"
"comfortless
","niewygodny
"
"contenance
","Contenance
"
"mumbling
","mamroczący
"
"left
","lewo
"
"nurserytheres
","żłobek
"
"barbershops
","zakłady fryzjerskie
"
"tugging
","szarpanie
"
"woven
","tkane
"
"equipages
","wyposażenie
"
"ploddingbut
","ploddingbut
"
"normally
","normalnie
"
"distracted
","roztargniony
"
"elliotti
","elliotti
"
"downtown
","śródmieście
"
"aachen
","aachen
"
"nineteen
","dziewiętnaście
"
"elastic
","elastyczny
"
"searchlights
","reflektory
"
"red-haired
","czerwonowłosy
"
"explanations
","wyjaśnienia
"
"abstracted
","roztargniony
"
"upholds
","podtrzymuje
"
"destruction
","zniszczenie
"
"acquainted
","obeznany
"
"chickens
","kurczaki
"
"manager
","menedżer
"
"opposite
","naprzeciwko
"
"profile
","profil
"
"surveillance
","inwigilacja
"
"hearer
","słuchacz
"
"separation
","separacja
"
"repeated
","powtarzający się
"
"colossal
","kolosalny
"
"guards
","gwardia
"
"feat
","wyczyn
"
"leagues
","ligi
"
"pointthe
","wskaż
"
"roll
","rolka
"
"relight
","zapalić ponownie
"
"rap
","kuks
"
"projection
","występ
"
"exquisite
","znakomity
"
"calm
","spokojna
"
"contented
","zadowolony
"
"cattle
","bydło
"
"une
","une
"
"remembering
","pamiętając
"
"pretending
","udawać
"
"limber
","zwinny
"
"lurk
","przyczaić się
"
"fixing
","ustalenie
"
"fascinatingi
","fascynujące
"
"wildest
","najdzikszy
"
"revealed
","ujawnił
"
"boudoir
","buduar
"
"smiledmost
","uśmiechnął się najbardziej
"
"afoot
","pieszo
"
"reminiscence
","wspomnienie
"
"scathed
","porozrzucane
"
"leash
","smycz
"
"blom
","blom
"
"noxious
","szkodliwy
"
"codeine
","kodeina
"
"impressive
","imponujący
"
"enjoyed
","cieszył się
"
"sirpush
","sirpush
"
"cap
","czapka
"
"persuaded
","przekonany
"
"mule
","muł
"
"ovenproof
","żaroodporny
"
"daily
","codziennie
"
"maids
","pokojówki
"
"novels
","powieści
"
"oak
","dąb
"
"noses
","nosy
"
"dog
","pies
"
"disappointment
","rozczarowanie
"
"architecture
","architektura
"
"apostrophised
","apostrofizowany
"
"heaven
","niebo
"
"nothing's
","nic
"
"calmness
","spokój
"
"marvelled
","zachwycony
"
"recollecting
","wspominając
"
"drear
","ponury
"
"extremes
","skrajności
"
"guys
","chłopaki
"
"resplendent
","olśniewający
"
"aged
","w wieku
"
"seasick
","cierpiący na morską chorobę
"
"ter
","ter
"
"gates
","bramy
"
"placid-tempered
","łagodny
"
"'eempossible'
","„eempossible”
"
"confine
","ograniczać
"
"'that
","'że
"
"piano-stool
","stołek do fortepianu
"
"starlight
","gwiezdny
"
"dope
","narkotyk
"
"foreboding
","przeczucie czegoś złego
"
"world's
","na świecie
"
"ever-shifting
","ciągle się zmienia
"
"unbearably
","nieznośnie
"
"cassino
","Cassino
"
"meyou
","meyou
"
"varied
","urozmaicony
"
"carebuta
","carebuta
"
"intimated
","zastraszony
"
"say-so
","tak powiedzieć
"
"perfection
","doskonałość
"
"imps
","chochliki
"
"imitating
","naśladowanie
"
"blockhead
","bałwan
"
"prettily
","pięknie
"
"fur
","futro
"
"ravenously
","drapieżnie
"
"slavish
","niewolniczy
"
"pear
","Gruszka
"
"mothproofed
","odporny na mole
"
"variance
","zmienność
"
"correspondents
","korespondentów
"
"previously
","poprzednio
"
"ambrosia
","Ambrozja
"
"exhausted
","wyczerpany
"
"tree
","drzewo
"
"misjudge
","źle osądzić
"
"guy
","chłopak
"
"girland
","girland
"
"craves
","pragnie
"
"pretextandrichard
","pretextandrichard
"
"redness
","zaczerwienienie
"
"flatness
","płaskość
"
"peter
","Piotr
"
"dinner-bell
","dzwonek obiadowy
"
"walked
","chodził
"
"confused
","zmieszany
"
"suppressing
","tłumienie
"
"youhear
","słyszysz
"
"eats
","jedzenie
"
"harry
","złupić
"
"judgment
","osąd
"
"remnant
","pozostałość
"
"yew-trees
","cisy
"
"aboveboard
","uczciwy
"
"lapses
","wygasa
"
"overnight
","nocny
"
"intrusted
","zaufany
"
"lid
","pokrywa
"
"slam
","zatrzasnąć
"
"tomatoes
","pomidory
"
"couragewith
","Couragewith
"
"shiny
","błyszczący
"
"bushes
","krzaki
"
"dick
","kutas
"
"chief
","szef
"
"toes
","palce u stóp
"
"mun
","mun
"
"ungovernable
","nieposkromiony
"
"consulted
","konsultowane
"
"questionwhy
","pytanie dlaczego
"
"undernourished
","niedożywiony
"
"answering
","odpowiadanie
"
"unsuccessful
","nieudany
"
"dimmed
","przyciemnione
"
"excluding
","z pominięciem
"
"italy
","Włochy
"
"delivery
","dostawa
"
"contact
","kontakt
"
"clung
","przylgnął
"
"potential
","potencjał
"
"obeying
","posłuszny
"
"buds
","pąki
"
"balance
","saldo
"
"material
","materiał
"
"balcony
","balkon
"
"wraps
","okłady
"
"skein-the
","motek-the
"
"washroom
","umywalnia
"
"carriage
","wagon
"
"stomach
","żołądek
"
"stealing
","kradzież
"
"reading
","czytanie
"
"cannot
","Nie mogę
"
"darkly
","mroczno
"
"candlestick
","świecznik
"
"unbolted
","odblokowany
"
"passively
","pasywnie
"
"disclose
","ujawniać
"
"equipped
","wyposażony
"
"shift
","Zmiana
"
"changeful
","zmienny
"
"closest
","najbliższy
"
"plant
","roślina
"
"xxix
","xxix
"
"ax
","topór
"
"loveloved
","kochany
"
"sorrow
","smutek
"
"onward
","naprzód
"
"bliss
","błogość
"
"elaborate
","opracować
"
"oldest
","najstarszy
"
"funeral
","pogrzeb
"
"skeins
","motki
"
"pamela
","Pamela
"
"discovered
","odkryty
"
"tranquilly
","spokojnie
"
"grimms
","ponury
"
"moodily
","nastrojowo
"
"redeemed
","odkupiony
"
"pipe
","rura
"
"mak
","mak
"
"scratchy
","szorstki
"
"tyrant
","tyran
"
"looking
","patrząc
"
"fellowship
","wspólnota
"
"diamonds
","diamenty
"
"bind
","wiązać
"
"omens
","wróżby
"
"knuckles
","kostki
"
"indeedblind
","rzeczywiście ślepy
"
"bake
","piec
"
"husky
","ochrypły
"
"human-bred
","wyhodowany przez ludzi
"
"eyelash
","rzęsa
"
"candid
","szczery
"
"sculptors
","rzeźbiarze
"
"hall-door
","hol-drzwi
"
"posted
","opublikowano
"
"handbreadth
","szerokość dłoni
"
"executed
","wykonany
"
"waistcoat
","kamizelka
"
"bet
","Zakład
"
"regulation
","rozporządzenie
"
"communal
","wspólny
"
"jet
","strumień
"
"hers
","jej
"
"veil
","welon
"
"obscured
","zasłonięte
"
"scaffold
","szafot
"
"nude
","nagi
"
"musicians
","muzycy
"
"disciplinarian
","dyscyplinarny
"
"xiii
","xiii
"
"lawless
","bezprawny
"
"let
","pozwolić
"
"typical
","typowy
"
"dishcloth
","ręcznik
"
"mansions
","rezydencje
"
"spilt
","rozlany
"
"entrance
","wejście
"
"fingers
","palce
"
"despatched
","wysłane
"
"billiard-players
","gracze w bilard
"
"brotherly
","braterski
"
"shares
","Akcje
"
"testimony
","świadectwo
"
"object
","obiekt
"
"eradicated
","wykorzenione
"
"chest
","skrzynia
"
"dirty
","brudny
"
"wore
","nosił
"
"lisle
","lisle
"
"retire
","przejść na emeryturę
"
"downstairs
","na dół
"
"albion
","albion
"
"vacancy
","Luka w zatrudnieniu
"
"harming
","szkodzić
"
"producing
","produkcja
"
"youthat
","młodzież
"
"provisions
","zaprowiantowanie
"
"traveland
","traveland
"
"groundsunshine
","światło słoneczne
"
"hearse
","karawan
"
"fantastic
","fantastyczny
"
"series
","seria
"
"interference
","ingerencja
"
"illumined
","oświetlony
"
"retreated
","wycofał się
"
"amity
","przyjaźń
"
"rice
","Ryż
"
"corsair-song
","pieśń-korsarz
"
"dishes
","naczynia
"
"corset
","gorset
"
"assign
","przydzielać
"
"whathow
","co
"
"encouraged
","zachęcony
"
"rubinstein
","rubinstein
"
"armfuls
","naręcze
"
"oftener
","częściej
"
"breeches
","bryczesy
"
"shakes
","trzęsie się
"
"obscura
","obscura
"
"transformation
","transformacja
"
"deity
","bóstwo
"
"ceremony
","ceremonia
"
"birthdays
","urodziny
"
"women
","kobiety
"
"carthage
","Kartagina
"
"tweeds
","tweedy
"
"powerlessness
","bezsilność
"
"ascribe
","przypisać
"
"banned
","Zakazany
"
"basting
","fastrygowanie
"
"dothere
","tu
"
"dozens
","dziesiątki
"
"phial
","flakonik
"
"presentable
","reprezentacyjny
"
"columnar
","kolumnowy
"
"arrangements
","ustalenia
"
"respectively
","odpowiednio
"
"blankets
","koce
"
"equalone
","równy
"
"onion
","cebula
"
"tasks
","zadania
"
"rascals
","dranie
"
"positions
","pozycje
"
"souliers
","souliers
"
"fated
","skazany
"
"forsaking
","porzucenie
"
"matrimony
","małżeństwo
"
"sorenesswhich
","bolesnośćktóra
"
"distinctlysurely
","wyraźnie
"
"maniac
","maniak
"
"be
","być
"
"cockroaches
","karaluchy
"
"puddles
","kałuże
"
"coal
","węgiel
"
"augusta
","augusta
"
"drugstore
","apteka
"
"vet
","weterynarz
"
"red
","czerwony
"
"sequestered
","zamaskowany
"
"père
","père
"
"confines
","granice
"
"fixture
","osprzęt
"
"remind
","przypomnieć
"
"magazine
","czasopismo
"
"likeness
","podobieństwo
"
"does
","robi
"
"stalwart
","rosły
"
"crocuses
","krokusy
"
"communion
","komunia
"
"injustices
","niesprawiedliwości
"
"grade
","stopień
"
"heart-to
","serce do
"
"crowbar
","łom
"
"contraceptives
","środki antykoncepcyjne
"
"papering
","tapetowanie
"
"coquetry
","kokieteria
"
"workroom
","pracownia
"
"husbands
","mężowie
"
"variegated
","srokaty
"
"printed
","drukowane
"
"denuded
","obnażony
"
"burglars
","włamywacze
"
"childhoods
","dzieciństwo
"
"presentthe
","prezentować
"
"fraternal
","braterski
"
"meadow
","łąka
"
"kingworth
","Kingworth
"
"size
","rozmiar
"
"deacon
","diakon
"
"bounding
","ograniczający
"
"razor
","brzytwa
"
"catch
","łapać
"
"quench
","ugasić
"
"blaming
","obwinianie
"
"mercurial
","bystry
"
"sweet
","Słodkie
"
"mane
","grzywa
"
"common
","wspólny
"
"waking
","budzi się
"
"followed
","śledzony
"
"crisscross
","w kratke
"
"declined
","odmówił
"
"savourless
","bez smaku
"
"ahwhat
","ahwhat
"
"apparition
","zjawa
"
"dowager
","wdowa
"
"indissoluble
","nierozerwalny
"
"sterilizing
","sterylizujący
"
"teacher's
","nauczyciele
"
"embrace
","uścisk
"
"sullenly
","ponuro
"
"diffuse
","rozproszony
"
"by-paths
","ścieżki
"
"stage
","etap
"
"proclaiming
","głoszenie
"
"visionary
","wizjoner
"
"commended
","pochwalony
"
"ban
","zakaz
"
"hymen
","hymen
"
"quoui
","quoui
"
"unspeakably
","niewymownie
"
"nibs
","stalówki
"
"mixes
","miesza
"
"timber
","drzewny
"
"heures
","heures
"
"swells
","puchnie
"
"about-face
","wokół twarzy
"
"crystal
","kryształ
"
"parent
","rodzic
"
"responses
","odpowiedzi
"
"fashioned
","wymodelowany
"
"innermost
","najgłębszy
"
"incredulity
","niedowierzanie
"
"grinding
","szlifowanie
"
"admired
","podziwiany
"
"grounds
","fusy
"
"confidential
","poufny
"
"best
","Najlepsza
"
"prove
","okazać się
"
"graduation
","ukończenie szkoły
"
"selfabandonmentfar
","samo porzucenie daleko
"
"lessened
","osłabiony
"
"injudiciously
","nierozsądnie
"
"undemonstrative
","zachowujący się z rezerwą
"
"nasal
","nosowy
"
"changes
","zmiany
"
"ursul
","ursul
"
"scale
","skala
"
"reappearing
","pojawia się ponownie
"
"happening
","wydarzenie
"
"bouncing
","Odbijanie
"
"donobody
","donobody
"
"vibrated
","wibrował
"
"grandson
","wnuk
"
"onlyin
","tylko w
"
"grand-dames
","babcie
"
"sardonic
","sardoniczny
"
"gentry
","szlachta
"
"cachinnation
","cachinnation
"
"fleas
","pchły
"
"jotted
","zapisał
"
"didn't
","nie
"
"merciless
","bezlitosny
"
"queries
","zapytania
"
"attractive
","atrakcyjny
"
"scrupulously
","skrupulatnie
"
"collars
","obroże
"
"observed
","zauważony
"
"fortune-tellers
","wróżki
"
"filthy
","brudny
"
"gratefully
","z wdzięcznością
"
"hospital
","szpital
"
"stadstimmertuinen
","stadstimmertuinen
"
"nowand
","nowand
"
"strewn
","porozrzucane
"
"young
","młody
"
"villain
","czarny charakter
"
"sumdont
","sumdont
"
"request
","żądanie
"
"pansies
","bratki
"
"rainy
","deszczowy
"
"durable
","trwały
"
"sweet-tempered
","łagodny
"
"shapethis
","shapethis
"
"suffocating
","duszący
"
"bathroom
","łazienka
"
"thoughtif
","myśleli
"
"arranged
","ułożone
"
"lopsided
","przechylony
"
"combined
","łączny
"
"appearance
","wygląd
"
"country
","kraj
"
"doat
","doat
"
"believing
","wierząc
"
"croquant
","krokiet
"
"gentler
","delikatniejszy
"
"equity
","kapitał
"
"etre
","etre
"
"cherubs
","aniołki
"
"immutably
","niezmiennie
"
"precaution
","ostrożność
"
"thats
","jest to
"
"comic
","komiczny
"
"galaxy
","galaktyka
"
"trusted
","zaufane
"
"snips
","nożyce
"
"keeps
","trzyma
"
"seat
","siedzenie
"
"attending
","uczęszczać
"
"plausible
","do przyjęcia
"
"system
","system
"
"subdued
","stłumiony
"
"formed
","uformowany
"
"assiduously
","pilnie
"
"grasps
","chwyta
"
"soon-forgotten
","wkrótce zapomniany
"
"resided
","mieszkał
"
"fourteenth
","czternasty
"
"teacherlowood
","nauczyciel
"
"wended
","wended
"
"murder
","morderstwo
"
"clapped
","klaskał
"
"necklace
","naszyjnik
"
"created
","Utworzony
"
"becomingit
","stawanie się
"
"draught
","wersja robocza
"
"nunnery
","klasztor żeński
"
"melancholy
","melancholia
"
"predictions
","prognozy
"
"bees
","pszczoły
"
"stitch
","szew
"
"nosy
","wścibski
"
"barrel
","beczka
"
"unbolt
","odryglować
"
"twenty-three
","dwadzieścia trzy
"
"clockwork
","w zegarku
"
"livingwhen
","livingwhen
"
"weighing
","ważenie
"
"exquisitely
","znakomicie
"
"participation
","udział
"
"biting
","szczypiący
"
"fairies
","wróżki
"
"window-recesswhich
","wnęka okiennaktóra
"
"transient
","przejściowy
"
"there
","tam
"
"schiff
","schiff
"
"both
","obie
"
"ensued
","nastąpiło
"
"sodden
","rozmokły
"
"foregone
","zignorowany
"
"beastly
","nieludzki
"
"contumelious
","zaraźliwy
"
"rested
","wypoczęty
"
"puritanical
","purytański
"
